41.83611204	-87.57059795	8.8	 03/06/2011 15:50:41 	2.9	43
41.83613219	-87.57056202	8.9	 03/06/2011 15:50:42 	2.6	53.4
41.83614563	-87.57054406	8.9	 03/06/2011 15:50:43 	2.5	59
41.83615234	-87.57051711	8.7	 03/06/2011 15:50:44 	2.5	71
41.83615906	-87.57049016	9	 03/06/2011 15:50:45 	2.3	79.4
41.83616578	-87.57046321	8.9	 03/06/2011 15:50:46 	2.3	81.2
41.83616578	-87.57043626	8.7	 03/06/2011 15:50:47 	2.5	89.4
41.83616578	-87.57040033	8.9	 03/06/2011 15:50:48 	2.3	97.1
41.83616578	-87.57037338	8.9	 03/06/2011 15:50:49 	2.4	90.7
41.83615906	-87.57034644	8.9	 03/06/2011 15:50:50 	2.4	96
41.83615906	-87.57031949	9	 03/06/2011 15:50:51 	2.4	108.7
41.83615234	-87.57028356	8.9	 03/06/2011 15:50:52 	2.6	109.4
41.83613891	-87.57025661	8.8	 03/06/2011 15:50:53 	2.6	124
41.83612547	-87.57023864	8.9	 03/06/2011 15:50:54 	2.4	138.6
41.83610532	-87.57022068	9	 03/06/2011 15:50:55 	2.3	152.7
41.83609188	-87.57020271	8.9	 03/06/2011 15:50:56 	2.2	164.2
41.83607173	-87.57020271	8.8	 03/06/2011 15:50:57 	2.3	174.4
41.83605158	-87.57020271	8.8	 03/06/2011 15:50:58 	2.2	177.8
41.83603142	-87.57020271	8.9	 03/06/2011 15:50:59 	2	180.9
41.83601127	-87.57020271	9	 03/06/2011 15:51:00 	2.3	185.8
41.8359844	-87.57020271	8.8	 03/06/2011 15:51:01 	2.6	177.9
41.83596425	-87.57020271	8.9	 03/06/2011 15:51:02 	2.5	180.2
41.83593737	-87.57020271	8.8	 03/06/2011 15:51:03 	2.5	186.2
41.83591722	-87.57021169	8.9	 03/06/2011 15:51:04 	2.5	184
41.83589707	-87.57021169	9	 03/06/2011 15:51:05 	2.5	183.8
41.8358702	-87.57021169	8.8	 03/06/2011 15:51:06 	2.8	188.9
41.83584332	-87.57022068	9	 03/06/2011 15:51:07 	2.6	188.6
41.83582317	-87.57022068	8.9	 03/06/2011 15:51:08 	2.8	188.2
41.8357963	-87.57022966	9	 03/06/2011 15:51:09 	2.8	180.6
41.83576943	-87.57022966	8.8	 03/06/2011 15:51:10 	2.7	181
41.83574927	-87.57022068	8.9	 03/06/2011 15:51:11 	2.4	171.5
41.83572912	-87.57022068	9	 03/06/2011 15:51:12 	2.4	167
41.83570225	-87.57021169	9	 03/06/2011 15:51:13 	2.5	168.3
41.83568209	-87.57020271	9.1	 03/06/2011 15:51:14 	2.5	162.3
41.83565522	-87.57019373	8.9	 03/06/2011 15:51:15 	2.6	159.1
41.83563507	-87.57018475	8.9	 03/06/2011 15:51:16 	2.5	158.2
41.83561492	-87.57017576	9	 03/06/2011 15:51:17 	2.6	168.2
41.83558804	-87.57016678	9.1	 03/06/2011 15:51:18 	2.5	169.7
41.83556789	-87.5701578	9.1	 03/06/2011 15:51:19 	2.4	168.6
41.83554774	-87.57014881	9	 03/06/2011 15:51:20 	2.4	164.5
41.83552087	-87.57013983	9	 03/06/2011 15:51:21 	2.5	160.3
41.83550071	-87.57013085	9.1	 03/06/2011 15:51:22 	2.5	165.1
41.83548056	-87.57012187	9.2	 03/06/2011 15:51:23 	2.6	162
41.83545369	-87.57011288	9.1	 03/06/2011 15:51:24 	2.7	165
41.83543353	-87.5701039	9	 03/06/2011 15:51:25 	2.6	165.7
41.83541338	-87.57009492	9	 03/06/2011 15:51:26 	2.4	163.6
41.83538651	-87.57008594	9.1	 03/06/2011 15:51:27 	2.3	159.5
41.83536635	-87.57007695	9	 03/06/2011 15:51:28 	2.5	160.7
41.8353462	-87.57006797	9.1	 03/06/2011 15:51:29 	2.5	160.9
41.83532605	-87.57005899	9.2	 03/06/2011 15:51:30 	2.6	159.3
41.83529917	-87.57004102	9.1	 03/06/2011 15:51:31 	2.7	161.1
41.83527902	-87.57003204	9.2	 03/06/2011 15:51:32 	2.7	162.3
41.83525887	-87.57002306	9	 03/06/2011 15:51:33 	2.7	160
41.835232	-87.57001407	9.1	 03/06/2011 15:51:34 	2.4	156.1
41.83521184	-87.57000509	9	 03/06/2011 15:51:35 	2.4	161.8
41.83519169	-87.56998712	9.1	 03/06/2011 15:51:36 	2.5	158.4
41.83517153	-87.56997814	9.2	 03/06/2011 15:51:37 	2.5	156.3
41.83515138	-87.56996018	9.1	 03/06/2011 15:51:38 	2.9	156.1
41.83512451	-87.56994221	9	 03/06/2011 15:51:39 	2.7	153.9
41.83510435	-87.56993323	8.9	 03/06/2011 15:51:40 	2.7	154.9
41.8350842	-87.56991526	9	 03/06/2011 15:51:41 	2.5	160.8
41.83506405	-87.56990628	8.9	 03/06/2011 15:51:42 	2.4	151.8
41.83504389	-87.56988831	9.1	 03/06/2011 15:51:43 	2.4	152.6
41.83502374	-87.56987933	9	 03/06/2011 15:51:44 	2.8	150
41.83500359	-87.56986137	9	 03/06/2011 15:51:45 	2.7	150.3
41.83498343	-87.5698434	8.9	 03/06/2011 15:51:46 	2.7	150.6
41.83496328	-87.56983442	8.9	 03/06/2011 15:51:47 	2.5	153
41.83494312	-87.56981645	8.9	 03/06/2011 15:51:48 	2.4	158.1
41.83491625	-87.56980747	9	 03/06/2011 15:51:49 	2.6	157
41.8348961	-87.5697895	8.9	 03/06/2011 15:51:50 	2.8	154.8
41.83487594	-87.56977154	9	 03/06/2011 15:51:51 	2.7	156
41.83484907	-87.56976255	8.8	 03/06/2011 15:51:52 	2.9	156.1
41.83482892	-87.56974459	8.9	 03/06/2011 15:51:53 	2.5	153.4
41.83480876	-87.56973561	8.9	 03/06/2011 15:51:54 	2.4	156.4
41.83478861	-87.56972662	8.9	 03/06/2011 15:51:55 	2.6	151.5
41.83476846	-87.56970866	9	 03/06/2011 15:51:56 	2.6	151
41.83474159	-87.56969967	8.8	 03/06/2011 15:51:57 	2.7	154.4
